#      ID           Name         RA        DEC      X      Y       F_int     F_peak  F_int(fit)  F_pk(fit)  Maj(fit)  Min(fit) P.A.(fit) Maj(fit_deconv.)   Min(fit_deconv.) P.A.(fit_deconv.)      Alpha      Beta  Chisq(fit)  RMS(image)  RMS(fit) Nfree(fit) NDoF(fit) NPix(fit) NPix(obj) Guess?
#      --             --      [deg]      [deg]  [pix]  [pix]        [Jy]  [Jy/beam]        [Jy]  [Jy/beam]  [arcsec]  [arcsec]     [deg]         [arcsec]           [arcsec]             [deg]         --        --          --   [Jy/beam] [Jy/beam]         --        --        --        --     --
      82a J122049-441627 185.205396 -44.274186 1615.3 1276.9     0.01121     0.0111      0.0152     0.0115    67.003    51.014    144.81           32.600           25.57885            291.90   0.013732   0.00677      2.4824     0.00077     0.218          6        45        52        52      0
      83a J122052-425629 185.216159 -42.939454 1625.7 1757.2     0.00948     0.0150      0.0291     0.0149   101.711    49.417    169.97           84.664           15.63903            333.14   0.016595   0.00000      0.4117     0.00242     0.134          6        16        23        23      0
      84a J122059-461840 185.246339 -46.310905 1584.3  544.3     0.00320     0.0043      0.0061     0.0044    70.407    50.120    145.91           38.968           23.99615            292.95   0.009766   0.00000      0.3280     0.00050     0.105          6        23        30        30      0
      85a J122100-445440 185.249862 -44.911530 1597.5 1047.9     0.01639     0.0139      0.0207     0.0143    73.756    50.677    162.60           46.801           21.04503            314.82  -1.904096   0.00000     26.7087     0.00069     0.631          6        60        67        67      0
      86a J122100-465155 185.251594 -46.865543 1577.3  344.8     0.00588     0.0065      0.0113     0.0066    84.102    52.637    166.03           62.064           24.84088            322.64   0.010513   0.00000      0.5885     0.00074     0.126          6        30        37        37      0
      87a J122100-462754 185.252554 -46.465266 1581.1  488.8     0.19786     0.1766      0.2008     0.1791    60.075    48.136    158.89           23.961            0.00000            305.37  -2.208502  -3.54299    552.1059     0.00064     2.007          6       124       137       137      0
      87b J122100-462754 185.277044 -46.458399 1575.1  491.5     0.19786     0.1766      0.0036     0.0036    85.110    30.550    102.05           68.218            0.00000            217.57  -2.409522  -4.10766    552.1059     0.00064     2.007          6       124       137       137      0
      88a J122103-452337 185.264274 -45.393928 1589.1  874.4     0.00975     0.0106      0.0130     0.0109    66.076    46.573    147.56           30.412           15.34202            294.98  -0.433767   0.00000      4.5210     0.00061     0.304          6        42        49        49      0
      89a J122103-452201 185.266148 -45.366823 1588.9  884.2     0.00386     0.0056      0.0070     0.0057    64.811    49.391    142.21           28.753           20.93965            289.19  -0.013951  -0.00707      0.5602     0.00064     0.139          6        22        29        29      0
      90a J122115-454525 185.315856 -45.757136 1572.5  744.0     0.00944     0.0102      0.0117     0.0107    60.941    46.366    144.92           17.781           13.14245            292.26  -0.507560   0.00000      4.3725     0.00046     0.287          6        46        53        53      0
