#      ID           Name         RA        DEC      X      Y       F_int     F_peak  F_int(fit)  F_pk(fit)  Maj(fit)  Min(fit) P.A.(fit) Maj(fit_deconv.)   Min(fit_deconv.) P.A.(fit_deconv.)      Alpha      Beta  Chisq(fit)  RMS(image)  RMS(fit) Nfree(fit) NDoF(fit) NPix(fit) NPix(obj) Guess?
#      --             --      [deg]      [deg]  [pix]  [pix]        [Jy]  [Jy/beam]        [Jy]  [Jy/beam]  [arcsec]  [arcsec]     [deg]         [arcsec]           [arcsec]             [deg]         --        --          --   [Jy/beam] [Jy/beam]         --        --        --        --     --
     349a J123007-460618 187.529358 -46.104923 1016.7  626.3     0.00505     0.0054      0.0063     0.0056    60.554    48.220    149.44           20.150           14.53254            296.71  -0.308059   0.00000      5.5183     0.00025     0.320          6        47        54        54      0
     350a J123012-440141 187.552143 -44.028023 1010.5 1373.9     0.02870     0.0272      0.0331     0.0285    61.538    48.661    147.99           20.903           18.52475            295.35  -0.441508   0.00000     27.6970     0.00071     0.629          6        63        70        70      0
     351a J123015-453800 187.563751 -45.633079 1008.0  796.1     0.00295     0.0038      0.0046     0.0039    60.033    50.640    140.07           26.074           10.66685            288.81  -0.540521   0.00000      0.4341     0.00037     0.110          6        29        36        36      0
     352a J123017-435714 187.574047 -43.954108 1004.8 1400.5     0.03401     0.0357      0.0382     0.0374    60.213    43.755    151.25           15.210            0.00000            298.88  -0.547235   0.00000     27.5360     0.00079     0.641          6        60        67        67      0
     353a J123018-454803 187.578645 -45.800789 1004.3  735.7     0.03527     0.0259      0.0375     0.0261    68.399    54.092    170.54           42.019           21.54096            319.76  -1.559540   0.00000     80.2030     0.00035     0.818          6       113       120       120      0
     354a J123019-454439 187.581207 -45.744279 1003.6  756.1     0.00472     0.0053      0.0064     0.0055    63.791    47.280    143.60           25.721           16.38013            290.61  -0.130108   0.00000      2.1716     0.00036     0.217          6        39        46        46      0
     355a J123020-451908 187.585616 -45.319464 1002.3  909.0     0.00429     0.0046      0.0062     0.0047    66.499    51.209    150.47           31.715           25.76593            298.13  -0.080809   0.00000      2.8789     0.00034     0.250          6        39        46        46      0
     356a J123020-450253 187.586309 -45.048035 1002.0 1006.7     0.00799     0.0087      0.0099     0.0090    60.747    46.865    145.00           17.851           13.89602            292.40   0.624170   0.00000      5.5429     0.00037     0.323          6        46        53        53      0
     357a J123021-430822 187.590053 -43.139385 1000.3 1693.7     0.03253     0.0328      0.0392     0.0341    62.509    47.444    145.38           22.010           17.29605            292.67  -1.903018   0.00000      9.9605     0.00121     0.407          6        53        60        60      0
     358a J123023-463657 187.596069 -46.615994 1000.2  442.3     0.12826     0.0792      0.1315     0.0789    83.807    51.311    136.83           60.477           24.98384            279.02  -1.909944   0.00000    268.7962     0.00040     1.212          6       176       183       183      0
     359a J123024-443533 187.603163 -44.592777  997.6 1170.6     0.00751     0.0091      0.0104     0.0096    60.531    46.048    141.60           18.965            7.07555            288.91   0.155901   0.00000      1.6446     0.00060     0.200          6        34        41        41      0
     360a J123033-451258 187.638326 -45.216338  988.9  946.1     0.00257     0.0030      0.0043     0.0031    73.145    50.036    128.34           46.805           16.97653            269.67  -0.006146   0.00000      0.8849     0.00032     0.155          6        30        37        37      0
     361a J123035-455340 187.649395 -45.894347  986.6  702.0     0.00083     0.0022      0.0025     0.0023    78.541    36.825     60.15           65.057            0.00000            122.82  -0.346434   0.00000      0.0240     0.00036     0.043          6         6        13        13      0
     362a J123036-443232 187.650937 -44.542472  985.3 1188.7     0.08569     0.0817      0.0905     0.0849    59.607    46.131    147.97           14.041           10.44686            295.34  -1.074946   0.00000    155.7209     0.00063     1.274          6        89        96        96      0
     363a J123036-441646 187.654112 -44.279926  984.3 1283.2     0.00696     0.0051      0.0110     0.0053   106.804    49.523    172.65           91.009           14.21885            338.60   0.012775   0.00000      5.1098     0.00048     0.289          6        54        61        61      0
     364a J123038-435333 187.660482 -43.892664  982.4 1422.6     0.02514     0.0244      0.0297     0.0257    62.692    47.445    159.63           27.412            7.42536            307.68  -0.158784   0.00000     22.4712     0.00069     0.593          6        57        64        64      0
     365a J123040-463610 187.668980 -46.602701  982.2  447.1     0.00292     0.0045      0.0045     0.0046    55.308    45.381    151.47           11.852            0.00000            298.02  -0.597771   0.00000      0.2229     0.00040     0.086          6        23        30        30      0
     366a J123041-453255 187.674038 -45.548732  980.1  826.4     0.02156     0.0208      0.0238     0.0213    64.235    44.949    141.04           27.276            5.27803            287.37  -0.767093   0.00000     26.3139     0.00040     0.581          6        71        78        78      0
     367a J123042-460352 187.675141 -46.064499  980.3  640.8     0.00390     0.0047      0.0054     0.0049    61.333    46.110    150.00           18.779           12.66669            297.49  -0.458060   0.00000      1.7219     0.00031     0.202          6        35        42        42      0
     368a J123042-455514 187.675690 -45.919351  980.0  693.0     0.29120     0.2524      0.2524     0.2524    58.661    43.973    147.38            0.012            0.00055            294.77  -1.606944   0.00000    999.0000     0.00036     0.000          0         0         0       153      1
     369a J123044-462352 187.687304 -46.397846  977.5  520.8     0.00440     0.0051      0.0057     0.0053    59.917    46.180    139.42           19.513            0.00000            286.94  -0.583409   0.00000      2.9252     0.00028     0.252          6        39        46        46      0
     370a J123050-431918 187.710436 -43.321335  968.9 1628.2     0.00432     0.0061      0.0084     0.0061    68.739    51.377    141.23           36.617           25.47869            287.63   0.021694   0.00000      0.2905     0.00077     0.100          6        22        29        29      0
     371a J123057-431240 187.739901 -43.211088  961.1 1667.8     0.03330     0.0337      0.0398     0.0353    63.758    45.624    147.73           24.983           12.15448            295.16  -0.202822   0.00000     30.7962     0.00100     0.711          6        54        61        61      0
     372a J123058-454215 187.742056 -45.704107  963.1  770.4     0.00178     0.0027      0.0042     0.0027    80.397    49.635    156.85           55.554           21.59341            308.54   0.005153   0.00000      0.0512     0.00038     0.045          6        18        25        25      0
     373a J123058-440017 187.743109 -44.004789  961.0 1382.2     0.03463     0.0356      0.0382     0.0366    60.862    44.271    149.57           16.678            3.34433            297.11  -0.198683   0.00000     53.7045     0.00059     0.852          6        67        74        74      0
     374a J123059-451346 187.747503 -45.229931  961.2  941.1     0.00371     0.0043      0.0052     0.0044    66.083    46.464    161.92           33.942            0.00000            312.10   0.006501   0.00000      2.0852     0.00030     0.220          6        36        43        43      0
     375a J123100-424355 187.751844 -42.732055  957.4 1840.1     0.09449     0.0830      0.1126     0.0876    68.578    48.367    151.78           35.855           19.54527            300.13  -0.535438   0.00000     30.5356     0.00249     0.660          6        63        70        70      0
     376a J123101-451713 187.754538 -45.287184  959.5  920.5     0.00371     0.0039      0.0052     0.0041    62.531    52.700    134.97           31.529           17.84971            284.14   0.014439   0.00000      1.6934     0.00030     0.192          6        39        46        46      0
     377a J123107-445240 187.780698 -44.877627  952.4 1067.9     0.00203     0.0028      0.0048     0.0029    80.865    53.169    154.88           56.039           29.17153            305.44   0.006791   0.00000      0.0498     0.00041     0.043          6        20        27        27      0
     378a J123112-443312 187.800203 -44.553612  947.0 1184.6     0.12939     0.1097      0.1345     0.1123    62.852    49.134    128.34           31.490            0.00000            275.54  -1.386332   0.00000    465.2542     0.00059     1.961          6       114       121       121      0
     379a J123116-453315 187.817796 -45.554404  943.9  824.3     0.05654     0.0509      0.0588     0.0513    58.910    50.112    151.30           24.282            4.14987            297.81  -1.534081   0.00000    175.9128     0.00036     1.253          6       105       112       112      0
     380a J123121-464937 187.837517 -46.827428  940.9  366.1     0.00388     0.0055      0.0073     0.0056    66.412    50.618    168.42           37.706           13.27007            318.04  -1.342436   0.00000      0.1395     0.00058     0.069          6        22        29        29      0
     381a J123121-452721 187.839182 -45.455940  938.3  859.7     0.00966     0.0101      0.0115     0.0105    59.667    47.479    144.51           18.512            9.84452            292.10  -0.481308   0.00000     11.5800     0.00036     0.443          6        52        59        59      0
     382a J123125-460222 187.854751 -46.039392  935.3  649.6     0.00120     0.0022      0.0034     0.0023    78.966    49.201    142.33           53.045           21.63138            287.51   0.003964   0.00000      0.0459     0.00036     0.049          6        12        19        19      0
     383a J123125-445600 187.857242 -44.933404  933.0 1047.8     0.01823     0.0163      0.0207     0.0169    64.721    48.773    156.47           29.965           17.17584            304.69  -0.799773   0.00000     35.3225     0.00039     0.673          6        71        78        78      0
     384a J123125-434707 187.855439 -43.780293  931.6 1462.9     0.00236     0.0033      0.0032     0.0029    65.017    43.716    147.76           28.040            0.00000            295.22  -0.026465   0.00000      0.0485     0.00050     0.042          6        15        28        28      0
     384b J123125-434707 187.867991 -43.802919  928.4 1454.7     0.00236     0.0033      0.0036     0.0020   124.906    37.522    153.64          110.365            0.00000            306.09   0.026907   0.00000      0.0485     0.00050     0.042          6        15        28        28      0
     385a J123126-430947 187.862030 -43.163071  928.9 1685.0     0.00506     0.0071      0.0106     0.0071    78.195    49.168    153.53           51.981           21.33297            303.51  -0.011983   0.00000      0.3099     0.00091     0.105          6        21        28        28      0
     386a J123126-442442 187.862223 -44.411792  930.9 1235.5     0.02251     0.0236      0.0257     0.0246    60.260    44.731    147.19           13.796            8.18687            294.57  -0.749101   0.00000     20.7263     0.00060     0.565          6        58        65        65      0
     387a J123128-455754 187.869738 -45.965064  931.5  676.4     0.00306     0.0040      0.0048     0.0042    60.647    48.659    144.41           21.404           14.59076            292.00  -0.017703   0.00000      0.4202     0.00036     0.111          6        27        34        34      0
     388a J123128-445416 187.870402 -44.904541  929.6 1058.1     0.00216     0.0028      0.0046     0.0028    72.782    57.671    125.65           47.992           30.74253            270.00  -0.120348   0.00000      0.4218     0.00038     0.119          6        23        30        30      0
     389a J123129-454313 187.870493 -45.720535  930.9  764.4     0.01178     0.0119      0.0134     0.0122    61.651    45.641    148.96           19.202           11.85566            296.45  -1.086729  -1.13385     13.6998     0.00031     0.446          6        62        69        69      0
     390a J123129-431709 187.872078 -43.285977  926.5 1640.7     0.00896     0.0092      0.0132     0.0096    72.391    49.065    138.22           43.319           19.91447            282.79   0.014644   0.00000      1.1179     0.00073     0.156          6        39        46        46      0
     391a J123130-434421 187.875130 -43.738869  926.4 1477.7     0.00165     0.0029      0.0040     0.0030    73.295    48.062    157.03           44.837           17.23244            307.73  -0.020186   0.00000      0.0404     0.00046     0.044          6        14        21        21      0
     392a J123130-464119 187.875450 -46.688725  931.3  415.9     0.00895     0.0095      0.0112     0.0098    61.688    47.919    153.52           22.904           14.22082            300.91  -1.181473  -1.28868      6.2471     0.00045     0.340          6        47        54        54      0
     393a J123131-462940 187.882074 -46.494574  929.3  485.8     0.00318     0.0038      0.0050     0.0039    62.938    52.396    123.31           35.171            9.73458            273.44   0.005983   0.00000      0.8863     0.00034     0.153          6        31        38        38      0
     394a J123134-452053 187.891704 -45.348583  924.9  898.3     0.00139     0.0021      0.0030     0.0022    74.157    48.823    161.20           47.013           17.26059            313.47   0.014582   0.00000      0.0898     0.00029     0.060          6        18        25        25      0
     395a J123137-455337 187.904454 -45.893961  922.7  701.9     0.00743     0.0081      0.0089     0.0083    60.961    45.467    147.06           16.602           11.53418            294.43  -0.382109   0.00000      6.0329     0.00033     0.328          6        49        56        56      0
     396a J123137-442316 187.907962 -44.387897  919.0 1244.1     0.01473     0.0148      0.0180     0.0152    63.270    48.213    141.39           25.754           17.01576            288.45  -0.383327   0.00000     15.4667     0.00059     0.508          6        53        60        60      0
     397a J123138-453125 187.908678 -45.524079  920.9  835.1     0.00181     0.0030      0.0033     0.0030    60.350    47.169    147.77           17.098           14.14085            295.14   0.081330   0.00000      0.2042     0.00033     0.090          6        18        25        25      0
     398a J123140-460451 187.918106 -46.080800  919.6  634.7     0.09051     0.0804      0.0930     0.0824    61.801    47.076    140.10           23.092           11.29299            287.26  -1.380374   0.00000    234.5503     0.00034     1.359          6       120       127       127      0
     399a J123140-465652 187.919854 -46.947681  920.8  322.7     0.00482     0.0070      0.0086     0.0071    67.298    46.523    138.03           34.444           11.50168            283.33   0.002479   0.00000      0.1548     0.00069     0.073          6        22        29        29      0
     400a J123141-464038 187.921046 -46.677386  920.0  420.0     0.02138     0.0218      0.0239     0.0223    60.641    45.457    150.85           17.087            8.76999            298.35  -1.635034   0.00000     26.3459     0.00044     0.605          6        65        72        72      0
     401a J123145-461024 187.939130 -46.173435  914.5  601.3     0.02796     0.0262      0.0300     0.0275    61.584    45.575    149.50           19.163           11.30188            297.02  -1.160200   0.00000     72.2847     0.00032     0.901          6        82        89        89      0
     402a J123146-435008 187.945711 -43.835652  908.3 1442.8     0.01072     0.0114      0.0132     0.0120    62.569    45.569    142.48           22.947            9.48983            289.37  -0.461055   0.00000     10.0423     0.00050     0.431          6        47        54        54      0
     403a J123149-452307 187.955594 -45.385248  908.8  885.0     0.00396     0.0043      0.0055     0.0044    65.299    49.232    154.33           30.295           19.87999            302.41  -0.200725   0.00000      2.3848     0.00029     0.225          6        40        47        47      0
     404a J123151-444445 187.953692 -44.746319  908.0 1115.0     0.00311     0.0026      0.0026     0.0026    58.661    43.973    147.38            0.012            0.00055            294.77   0.011148   0.00000    999.0000     0.00041     0.000          0         0         0        45      1
     405a J123151-450542 187.963073 -45.095274  906.3  989.4     0.00873     0.0092      0.0102     0.0097    61.202    44.640    147.53           17.452            7.68542            294.93  -1.426747   0.00000     19.7200     0.00030     0.573          6        53        60        60      0
     406a J123151-462100 187.966243 -46.349820  908.1  537.8     0.02558     0.0262      0.0274     0.0268    59.307    44.380    148.69            9.816            3.98086            296.09  -1.495158   0.00000     55.6638     0.00030     0.814          6        77        84        84      0
     407a J123152-463151 187.971832 -46.526447  907.1  474.2     0.01019     0.0072      0.0089     0.0074    60.571    51.086    144.57           26.165           14.80628            292.44  -1.650254   0.00000      7.0281     0.00033     0.272          6        82        95        95      0
     407b J123152-463151 187.958034 -46.543868  910.6  468.0     0.01019     0.0072      0.0042     0.0031    65.677    53.706    140.05           33.210           26.83598            287.63  -0.858040   0.00000      7.0281     0.00033     0.272          6        82        95        95      0
     408a J123156-460555 187.984174 -46.098950  903.1  628.0     0.00213     0.0030      0.0038     0.0030    64.926    49.397    152.36           28.906           21.09923            300.15   0.759163   0.00000      0.1414     0.00032     0.069          6        23        30        30      0
     409a J123203-460041 188.011672 -46.011926  896.1  659.3     0.00138     0.0021      0.0034     0.0021    72.867    57.149    150.36           43.399           36.29489            298.20   0.006035   0.00000      0.2801     0.00032     0.106          6        18        25        25      0
     410a J123204-461528 188.019496 -46.257901  894.7  570.8     0.00286     0.0034      0.0042     0.0035    67.124    45.681    147.01           32.628           12.36888            294.31   0.017563   0.00000      1.6302     0.00030     0.202          6        33        40        40      0
     411a J123204-443210 188.020330 -44.535984  890.5 1190.6     0.00479     0.0056      0.0074     0.0059    68.213    47.656    167.50           39.488            0.00000            319.59   0.001520   0.00000      1.1215     0.00052     0.172          6        31        38        38      0
     412a J123206-442131 188.028824 -44.358654  887.9 1254.4     0.02862     0.0152      0.0343     0.0160    94.798    58.477     99.96           80.378           23.89422            215.35  -0.342925   0.00000     36.1690     0.00056     0.563          6       107       114       114      0
     413a J123212-461802 188.050851 -46.300626  887.0  555.3     0.00192     0.0028      0.0035     0.0029    62.801    49.753    145.62           23.918           21.73612            293.03   0.010115   0.00000      0.4103     0.00030     0.119          6        22        29        29      0
     414a J123214-440108 188.060249 -44.018889  879.0 1376.7     0.00510     0.0055      0.0074     0.0057    69.522    48.112    150.37           37.446           19.26316            298.50   0.026324   0.00000      4.5332     0.00039     0.317          6        38        45        45      0
     415a J123214-443221 188.060951 -44.539350  880.1 1189.3     0.00627     0.0069      0.0091     0.0070    68.461    48.868    150.36           35.460           21.04319            298.36  -0.478624   0.00000      1.0665     0.00049     0.156          6        37        44        44      0
     416a J123215-451249 188.063765 -45.213743  881.0  946.6     0.00091     0.0017      0.0021     0.0017    68.166    45.702    134.82           36.843            1.78131            278.90   0.025604   0.00000      0.0467     0.00028     0.048          6        13        20        20      0
     417a J123217-445435 188.072583 -44.909833  878.0 1055.9     0.08088     0.0836      0.0845     0.0850    58.697    43.706    147.70            2.553            0.00000            295.09  -1.520909   0.00000    452.1751     0.00036     2.137          6        92        99        99      0
     418a J123222-460249 188.091580 -46.046967  876.2  646.6     0.00407     0.0045      0.0055     0.0046    59.895    50.704    145.86           25.287           12.00376            293.54  -0.549111   0.00000      4.2358     0.00030     0.300          6        40        47        47      0
     419a J123223-454929 188.096567 -45.825479  874.3  726.3     0.00089     0.0016      0.0028     0.0016   103.118    43.435    163.89           85.653            0.00000            323.09  -0.002418   0.00000      0.3530     0.00027     0.133          6        13        20        20      0
     420a J123224-432321 188.102419 -43.389002  866.4 1603.3     0.00217     0.0041      0.0062     0.0041    71.205    55.002    161.85           43.298           29.08380            311.47   0.034569   0.00000      0.0205     0.00063     0.033          6        12        19        19      0
     421a J123225-443506 188.105054 -44.585251  868.9 1172.7     0.00596     0.0074      0.0082     0.0076    60.663    45.702    147.11           15.475           12.42566            294.49  -1.226815   0.00000      1.7684     0.00047     0.208          6        34        41        41      0
     422a J123231-455849 188.132361 -45.980197  865.8  670.5     0.00659     0.0075      0.0079     0.0078    59.009    44.183    150.59           10.742            0.00000            298.00  -1.047232  -1.07196      5.9694     0.00028     0.332          6        47        54        54      0
     423a J123234-430924 188.142331 -43.156541  855.3 1686.9     0.00460     0.0060      0.0089     0.0061    77.077    48.924    149.01           50.018           21.39813            297.05   0.006106   0.00303      0.4130     0.00075     0.115          6        24        31        31      0
     424a J123235-443331 188.146441 -44.558522  858.2 1182.3     0.00710     0.0061      0.0108     0.0063    80.912    54.640     92.88           65.012            0.00000            210.66  -0.298751   0.00000      3.0448     0.00047     0.237          6        47        54        54      0
     425a J123240-433732 188.168012 -43.625870  849.9 1517.9     0.03187     0.0315      0.0356     0.0323    61.968    45.958    147.33           19.972           13.36035            294.71  -1.192047   0.00000     31.1307     0.00056     0.649          6        67        74        74      0
     426a J123240-441803 188.168783 -44.300905  851.7 1275.0     0.00351     0.0044      0.0058     0.0045    72.625    45.900    140.30           43.311           11.42272            285.15   0.017127   0.00000      0.5277     0.00044     0.123          6        28        35        35      0
     427a J123247-435551 188.197047 -43.930873  843.3 1408.1     0.00427     0.0047      0.0069     0.0048    72.561    51.379    162.72           45.085           22.30568            314.34   0.006206   0.00000      0.6453     0.00042     0.125          6        34        41        41      0
     428a J123248-454228 188.200516 -45.707741  847.9  768.5     0.00200     0.0025      0.0038     0.0025    76.394    49.956    156.27           49.580           22.33073            307.03   0.021352   0.00000      0.6769     0.00028     0.143          6        26        33        33      0
     429a J123248-432856 188.202998 -43.482113  840.4 1569.6     0.00630     0.0064      0.0108     0.0066    74.530    56.735    152.81           46.368           35.33787            301.37   0.010342   0.00000      0.6000     0.00065     0.120          6        35        42        42      0
     430a J123249-431843 188.207255 -43.312252  838.7 1630.7     0.04578     0.0448      0.0506     0.0463    62.308    45.245    147.58           21.004           10.64825            294.98  -1.678673   0.00000     55.2784     0.00069     0.847          6        70        77        77      0
     431a J123250-451126 188.209211 -45.190266  844.1  954.7     0.00367     0.0038      0.0052     0.0039    65.488    52.074    153.19           31.189           25.55201            300.71  -0.289821   0.00000      1.8545     0.00026     0.197          6        41        48        48      0
     432a J123250-453230 188.210267 -45.541852  844.9  828.2     0.00096     0.0021      0.0025     0.0021    65.419    46.407    158.91           31.656            7.50996            308.28  -0.003635   0.00000      0.0148     0.00030     0.030          6        10        17        17      0
     433a J123253-441841 188.221446 -44.311430  838.2 1271.1     0.00408     0.0047      0.0062     0.0048    66.832    50.024    132.33           36.041           17.18031            277.69   0.014054   0.00000      1.1494     0.00042     0.170          6        33        40        40      0
     434a J123255-444610 188.229384 -44.769505  837.6 1106.1     0.01052     0.0110      0.0125     0.0116    61.888    45.108    146.41           19.790            9.92440            293.71  -0.924943   0.00000     12.3698     0.00041     0.462          6        51        58        58      0
     435a J123256-452837 188.248603 -45.486372  835.1  848.0     0.00786     0.0049      0.0054     0.0050    63.272    44.523    158.00           26.775            0.00000            306.95  -0.696799  -0.59116      8.2005     0.00030     0.300          6        78        91        91      0
     435b J123256-452837 188.219660 -45.466683  842.3  855.2     0.00786     0.0049      0.0053     0.0039    68.731    50.132    134.72           38.260           19.96314            279.67  -1.253186  -1.41183      8.2005     0.00030     0.300          6        78        91        91      0
     436a J123257-434911 188.238611 -43.819952  832.2 1447.9     0.00244     0.0033      0.0062     0.0034    79.800    59.719    148.27           54.108           40.39802            295.91  -7.253378   0.00000      0.2475     0.00049     0.096          6        20        27        27      0
     437a J123257-452645 188.239314 -45.445729  837.3  862.7     0.00365     0.0040      0.0052     0.0041    65.220    49.675    146.65           28.531           23.07420            293.97  -1.275967   0.00000      1.2814     0.00029     0.169          6        38        45        45      0
     438a J123257-443542 188.239757 -44.597589  834.4 1168.0     0.00199     0.0027      0.0107     0.0026   210.432    51.341      6.15          203.580            9.90933             10.29  -0.315540  -0.20755      2.6063     0.00045     0.317          6        19        26        26      0
     439a J123257-450816 188.239982 -45.137964  836.1  973.5     0.00089     0.0018      0.0021     0.0019    56.245    50.912    157.85           26.228            0.00000            300.48   0.007821   0.00000      0.0609     0.00028     0.058          6        11        18        18      0
     440a J123300-445656 188.252404 -44.948769  832.3 1041.6     0.00544     0.0056      0.0073     0.0059    68.705    47.016    152.93           36.241           15.58109            301.71  -1.096276   0.00000      3.5067     0.00035     0.265          6        43        50        50      0
     441a J123301-462846 188.256183 -46.479792  836.5  490.5     0.00084     0.0021      0.0025     0.0021    65.642    46.232    138.82           31.038           10.39994            284.65   0.006172   0.00000      0.0050     0.00032     0.019          6         7        14        14      0
     442a J123304-434529 188.266802 -43.758039  824.6 1470.1     0.03641     0.0357      0.0399     0.0373    60.941    45.196    144.45           17.494            8.69457            291.68  -1.467133   0.00000     94.9087     0.00055     1.096          6        72        79        79      0
     443a J123305-435755 188.273122 -43.965460  823.7 1395.5     0.00545     0.0056      0.0078     0.0059    68.861    49.330    150.46           36.236           22.07976            298.49   0.006919   0.00000      1.5723     0.00040     0.183          6        40        47        47      0
     444a J123306-443616 188.276445 -44.605682  825.0 1165.0     0.24118     0.2235      0.2235     0.2235    58.661    43.973    147.38            0.012            0.00055            294.77  -1.670432   0.00000    999.0000     0.00044     0.000          0         0         0       129      1
     445a J123308-453034 188.284771 -45.509352  826.0  839.7     0.00440     0.0056      0.0057     0.0057    58.320    43.874    154.21           12.396            0.00000            301.52   0.443833   0.00000      3.6810     0.00031     0.293          6        36        43        43      0
     446a J123310-462034 188.293985 -46.342757  826.7  539.7     0.01266     0.0125      0.0141     0.0128    60.377    47.093    139.33           21.298            5.90039            286.93  -0.637214   0.00000     14.0237     0.00030     0.432          6        68        75        75      0
     447a J123312-431013 188.300534 -43.170372  813.8 1681.5     0.00283     0.0049      0.0070     0.0050    73.699    48.639    156.63           45.426           18.94742            307.19  -0.003930   0.00000      0.0250     0.00080     0.034          6        14        21        21      0
     448a J123314-462424 188.311977 -46.406879  822.4  516.6     0.00089     0.0018      0.0025     0.0019    63.144    52.677    144.07           29.337           22.94913            291.82  -0.002153   0.00000      0.0128     0.00030     0.027          6        10        17        17      0
     449a J123316-461304 188.319222 -46.217632  819.9  584.7     0.00242     0.0027      0.0041     0.0027    72.353    53.659      0.97           49.953           15.62998            336.65  -0.005957   0.00000      0.6431     0.00027     0.128          6        32        39        39      0
     450a J123317-454818 188.321690 -45.805043  817.8  733.1     0.01407     0.0116      0.0157     0.0117    63.672    54.414    133.74           34.453           21.28866            283.34  -0.995857   0.00000     37.8713     0.00028     0.645          6        84        91        91      0
     451a J123319-444200 188.331377 -44.700341  811.3 1130.8     0.00148     0.0030      0.0039     0.0030    69.388    47.845    147.56           37.062           18.85566            294.99   0.016841   0.00000      0.0292     0.00047     0.040          6        11        18        18      0
     452a J123324-453136 188.350979 -45.528329  809.4  832.7     0.00085     0.0021      0.0028     0.0022    69.690    47.423    166.15           41.326            4.80032            318.73   0.006222   0.00000      0.0146     0.00032     0.032          6         7        14        14      0
     453a J123329-460645 188.371016 -46.112473  806.6  622.4     0.00598     0.0056      0.0072     0.0059    62.941    50.500    138.58           28.229           18.44314            286.26  -1.434090   0.00000      4.8793     0.00025     0.276          6        57        64        64      0
     454a J123329-462714 188.371493 -46.453999  807.9  499.5     0.00346     0.0040      0.0051     0.0041    65.747    48.907    134.15           33.378           15.02465            279.88   0.009866   0.00000      1.1446     0.00031     0.167          6        34        41        41      0
     455a J123329-440357 188.373792 -44.066017  798.0 1359.0     0.00155     0.0027      0.0032     0.0027    62.809    48.757    152.16           24.601           18.49910            299.64   0.015327   0.00000      0.0980     0.00037     0.065          6        16        23        23      0
     456a J123332-441929 188.383053 -44.324727  796.6 1265.9     0.00200     0.0026      0.0037     0.0027    61.482    57.227    131.39           37.363           16.85841            286.90   0.107445   0.00000      0.3727     0.00033     0.110          6        24        31        31      0
     457a J123332-454044 188.383226 -45.679063  801.9  778.3     0.00227     0.0026      0.0042     0.0027    82.285    49.388    145.38           57.729           22.42250            291.79   0.006947   0.00000      0.4239     0.00029     0.109          6        29        36        36      0
     458a J123332-445042 188.386908 -44.845038  797.6 1078.5     0.00881     0.0098      0.0109     0.0102    61.528    44.904    146.48           18.631            8.95550            293.79  -0.455399   0.00000      5.4816     0.00041     0.325          6        45        52        52      0
     459a J123333-445324 188.389671 -44.890091  797.1 1062.3     0.00223     0.0028      0.0049     0.0028    74.389    60.426    116.97           52.708           32.12609            260.65   0.003789   0.00000      0.6458     0.00037     0.144          6        24        31        31      0
     460a J123339-433434 188.415319 -43.576177  785.3 1535.2     0.00680     0.0095      0.0111     0.0096    69.582    42.707    147.04           37.425            0.00000            294.31  -0.766334   0.00000      0.8629     0.00086     0.164          6        25        32        32      0
     461a J123339-454655 188.415711 -45.782045  794.1  741.2     0.03064     0.0317      0.0326     0.0323    59.201    43.974    147.37            7.978            0.36147            294.75  -1.401685   0.00000    108.8111     0.00028     1.125          6        79        86        86      0
     462a J123341-455912 188.422507 -45.986680  793.3  667.5     0.00062     0.0015      0.0018     0.0016    67.368    44.679    142.04           33.594            5.60416            288.05  -0.002554   0.00000      0.0086     0.00027     0.025          6         7        14        14      0
     463a J123343-463323 188.429481 -46.556629  793.9  462.4     0.00510     0.0061      0.0068     0.0063    60.393    45.649    146.05           14.954           11.52279            293.41  -0.356805   0.00000      2.5929     0.00035     0.243          6        37        44        44      0
     464a J123346-450153 188.442413 -45.031281  784.2 1011.3     0.00340     0.0037      0.0049     0.0038    68.208    48.583    154.20           35.621           19.20905            302.99   0.012202   0.00000      1.7282     0.00028     0.198          6        37        44        44      0
     465a J123350-441710 188.459943 -44.286302  776.6 1279.5     0.00192     0.0028      0.0034     0.0030    57.452    50.973    130.60           27.613            0.00000            284.25   0.001820   0.00000      0.3360     0.00034     0.110          6        21        28        28      0
     466a J123351-451243 188.464651 -45.212751  779.4  946.0     0.00133     0.0016      0.0043     0.0016   105.921    67.021      1.35           91.253           44.82535            351.86   0.276476   0.00000      1.7409     0.00027     0.241          6        23        30        30      0
     467a J123354-452625 188.476017 -45.440088  777.5  864.1     0.00164     0.0025      0.0031     0.0026    66.626    47.527    151.02           31.889           17.49619            299.06   0.001868   0.00000      0.2116     0.00031     0.089          6        20        27        27      0
     468a J123403-453818 188.514659 -45.638702  768.6  792.5     0.00119     0.0020      0.0034     0.0020    73.294    59.151     99.90           54.772           22.27233            240.56  -1.037165   0.00000      0.8684     0.00030     0.203          6        14        21        21      0
     469a J123405-453543 188.520672 -45.595293  766.9  808.1     0.00147     0.0025      0.0028     0.0025    63.301    44.599    153.01           24.858            1.85012            301.21  -0.003141   0.00000      0.1594     0.00029     0.081          6        17        24        24      0
     470a J123405-444543 188.533826 -44.760735  759.7 1108.4     0.00917     0.0060      0.0081     0.0061    69.295    49.550    160.67           39.288           18.40520            311.00   0.001045   0.00052      5.4514     0.00049     0.264          6        65        78        78      0
